"type","title","description","population_description","reporting_status","param_type","unit_of_measure","time_frame","dispersion_type","class_title","group_id","value","spread","group_title","group_description"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Mobility after 2 weeks","OG000",1.3,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Mobility after 2 weeks","OG001",1.1,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Selfcare at baseline","OG000",1.1,0,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Selfcare at baseline","OG001",1.1,0,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Selfcare after 2 weeks","OG000",1.1,0,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Selfcare after 2 weeks","OG001",1.1,0,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Activity baseline","OG000",1.7,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Activity baseline","OG001",1.6,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Activity after 2 weeks","OG000",1.6,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Activity after 2 weeks","OG001",1.6,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Pain at baseline","OG000",2.1,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Pain at baseline","OG001",1.9,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Pain after 2 weeks","OG000",1.7,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Pain after 2 weeks","OG001",1.8,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Anxiety at baseline","OG000",1.5,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Anxiety at baseline","OG001",1.6,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Anxiety after 2 weeks","OG000",1.3,0.1,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","Anxiety after 2 weeks","OG001",1.5,0.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","VAS scale at baseline","OG000",58.9,2.5,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","VAS scale at baseline","OG001",63.7,2.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","VAS scale after 2 weeks","OG000",61.4,2.5,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Mean Change of Questionnaire EQ-5D-3L (Euroqol- 5D-3L) From Baseline to After 2 Weeks Treatment","EQ-5D-3L descriptive system comprises 5 dimensions: mobility, self-care, activity, pain and anxiety. Each dimension has 3 levels: 1 = no problems, 2 = moderate problems, 3=extreme problems. Subjects indicate health state by ticking choosing appropriate statement in each dimension and a VAS scale (Overall health) from 0-100 mm where higher score is better (100) than lower score (0).

Patients completed the EQ-5D-3L at baseline (the start of the randomized period and at 2 weeks).","Safety population, three patients in the Sham group had no data for EQ-5D-3L","POSTED","MEAN","units on a scale","2 weeks","Standard Error","VAS scale after 2 weeks","OG001",66.5,2.1,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Patients Who Used Any Type of Rescue Medication","Following treatment at 15 minutes, patients recorded use of any rescue medication(s) in the diary'","ITT-Intention To Treat population","POSTED","NUMBER","participants","2 weeks",NA,"Patients Who Used Any Type of Rescue Medication","OG000",40,NA,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Patients Who Used Any Type of Rescue Medication","Following treatment at 15 minutes, patients recorded use of any rescue medication(s) in the diary'","ITT-Intention To Treat population","POSTED","NUMBER","participants","2 weeks",NA,"Patients Who Used Any Type of Rescue Medication","OG001",42,NA,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Comparison of the Headache Pain Free Attack Rates at 30 Minutes Following the Treatment","The headache pain was collected at the beginning of the attack and 30 minutes post treatment in the patient diary.

The number of pain free (no pain) attacks are compared to all attacks treated","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of attacks treated","OG000",495,NA,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Comparison of the Headache Pain Free Attack Rates at 30 Minutes Following the Treatment","The headache pain was collected at the beginning of the attack and 30 minutes post treatment in the patient diary.

The number of pain free (no pain) attacks are compared to all attacks treated","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of attacks treated","OG001",400,NA,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
"SECONDARY","Comparison of the Headache Pain Free Attack Rates at 30 Minutes Following the Treatment","The headache pain was collected at the beginning of the attack and 30 minutes post treatment in the patient diary.

The number of pain free (no pain) attacks are compared to all attacks treated","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of attacks treated and pain free at 30 min.","OG000",101,NA,"gammaCore","Active Comparator: gammacore gammacore active device to be used noninvasively to the vagal nerve in the neck"
"SECONDARY","Comparison of the Headache Pain Free Attack Rates at 30 Minutes Following the Treatment","The headache pain was collected at the beginning of the attack and 30 minutes post treatment in the patient diary.

The number of pain free (no pain) attacks are compared to all attacks treated","ITT-Intention To Treat population","POSTED","NUMBER","Number of attacks","2 weeks",NA,"Number of attacks treated and pain free at 30 min.","OG001",81,NA,"Sham Device","Placebo Comparator: inactive gammacore same as the active treatment, but without the therapy treatment provided"
