NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02381795,Pilot Study Evaluating the Use of Nasal Carbon Dioxide for the Treatment of Cluster Headache,https://clinicaltrials.gov/study/NCT02381795,,TERMINATED,"This is an open label, investigator-sponsored, pilot study. Subjects agreeing to participate in the study and meeting the eligibility criteria assessed at the screening visit will be enrolled in the study. The length of time between screening and treatment will last between 0 days to a maximum of 12 weeks. Subjects who enter the screening phase during a cluster headache episode and meet the study eligibility criteria can immediately enter the treatment phase and may opt to treat their cluster headache episode in the clinic. Subjects who are not in a cluster headache episode, who meet initial screening eligibility criteria, can remain in the screening phase for up to 12 weeks until their next cluster episode begins. Upon initiation of a cluster headache episode, subjects will enter the treatment period. Subjects will be trained on the proper use of the hand-held dispenser containing carbon dioxide (CO2 )calibrated to deliver 0.5 standard liters per minute (SLPM). This dispenser will be provided for use in the clinic or home. Subjects will be instructed to use the nasal CO2 dispenser, 10 seconds/nostril, as needed up to 6 times to treat one attack. Each dose must be separated by 3-5 minutes. Subjects should treat only one attack in a 24-hour period. Subjects may treat up to three cluster headache attacks during the treatment phase of this study. One hour after the first dose, subjects can choose to treat with investigator-approved rescue medication. Subjects will be asked to complete an online diary after the completion of the dosing. Diary assessments will collect pain severity, nasal CO2 usage, acute medication usage, satisfaction of treatment, number of cluster attacks, and unusual symptoms. Subjects will be contacted by phone within 3 days of the first use of the nasal CO2 dispenser to assess adverse events (AEs) and medication usage. A total of 25 subjects will enter the treatment period and be instructed to treat up to 3 cluster headaches with nasal CO2. Within 7 days of treating their last cluster headache episode, subjects will return for an end of study visit.",YES,Cluster Headache,DRUG: Nasal Carbon Dioxide,"Headache Pain Intensity, Greatest change in headache pain intensity post treatment (at any time point within 30 minutes of Nasal CO2 administration) - pre-treatment. Pain intensity will be measured as follows: 0 = no pain, 1 = mild pain, 2 = moderate pain, and 3 = severe pain. Full Range values were calculated change values, and do not represent the full range of the scale., Immediately preceeding treatment to 30 minutes post-treatment",,,"Cady, Roger, M.D.","Capnia, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,10,INDIV,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,15-001CA,2015-07,2017-04,2017-04,2015-03-06,2018-05-01,2018-08-14,"Clinvest/A Division of Banyan Group, Inc., Springfield, Missouri, 65807, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/95/NCT02381795/Prot_SAP_000.pdf"
NCT00662935,Evaluation of Efficacity and Safety of Deep Brain Stimulation (DBS) in Chronic and Treatment-Resistant Cluster Headache(CH),https://clinicaltrials.gov/study/NCT00662935,,COMPLETED,"The aim of this study is to evaluate the efficacy and safety of deep brain stimulation (DBS) in chronic and treatment-resistant CH. Inclusion criteria are: patients with chronic CH (\>3years), with daily attack and non response to adequate treatment. Electrodes are implanted stereotactically in the postero-inferior hypothalamus. In this crossover, randomized, placebo-controlled double-blinded study, the efficacy of DBS is evaluated using comparison of two one-month sequences: one with stimulation ""on"" and the other with stimulation ""off"" (placebo sequence). Efficacy is defined as ≥50% decrease of weekly frequency of CH attacks. After the randomized period, long-term efficacy and safety are evaluated after one year of stimulation in open conditions.",NO,Cluster Headache,PROCEDURE: setting-up of an electrode in deep brain,"Decrease (≥50% by reference to a prospective pre-implantation run-in period) of the weekly frequency of cluster headache attacks between treatment and placebo one-month sequences., between treatment and placebo one-month sequences.","Intensity of dysautomic dysfunction, acute treatment consumption, quality of life Between treatment and placebo one-month sequences., Between treatment and placebo one-month sequences.",,Centre Hospitalier Universitaire de Nice,Medtronic,ALL,"ADULT, OLDER_ADULT",NA,12,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: TREATMENT,04 -APN -03,2005-05,2008-01,2008-03,2008-04-21,,2008-04-21,,
NCT00203190,"A Double-Blind, Placebo-Controlled Study Examining the Use of Topiramate in the Treatment of Cluster Headache",https://clinicaltrials.gov/study/NCT00203190,,TERMINATED,"Topiramate is a medication that has been approved by the Food and Drug Administration (FDA) for the treatment of patients with seizures. The trade name for this drug is Topamax®. Topiramate has not been approved by the FDA for the treatment of cluster headache and is experimental for the purposes of this research study. If a subject participates in this study, he/she will increase his/her dose of topiramate rapidly in the first few weeks to try to stop the cluster attacks and then will continue on a maintenance dose of topiramate in order to determine if it can prevent attacks from occurring during that cluster period. We believe that this will lead not only to a faster but a more complete remission of the cluster period.",NO,Cluster Headache,DRUG: Topiramate,Change in the average daily frequency of moderate or severe attacks between baseline period to the period of day 14 to 56.,Change in the average daily frequency of any attacks from the baseline period through the entire treatment period.|Change in the average daily duration of any attacks from the baseline period through the entire treatment period.|Change in the average daily attack severity from baseline period through the entire treatment period.|Change in the average daily frequency of any attacks from the baseline period to each week during the treatment period.|Change in the average daily duration of any attacks from the baseline period to each week during the treatment period.|Change in the average daily attack severity from the baseline period to each week during the treatment period.|Time to the first week from the baseline period with a 50% reduction in average daily frequency of moderate or severe attacks.|Change in use of acute and rescue medications from the baseline period through the entire treatment period.,,Thomas Jefferson University,"Ortho-McNeil Neurologics, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE4,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,SDS/TOP-CL/01/CAPSS-322|080-19000-H56501,2004-09,,2006-06,2005-09-20,,2009-01-23,"Jefferson Headache Center, Philadelphia, Pennsylvania, 19107, United States",
NCT00184587,Prophylactic Treatment of Episodic Cluster Headache,https://clinicaltrials.gov/study/NCT00184587,,COMPLETED,The purpose of this study is to determine whether candesartan cilexetil are effective prophylactic treatment of episodic Cluster headache,NO,Cluster Headache,DRUG: candesartan cilexetil|DRUG: placebo,"frequency of attacks per week, change from 'pseudobaseline' week 1 to week 3","level of disability, 5-point scale; 0= no disability, 1= mild, 2= moderate, 3= severe, 4= unbearable, change from 'pseudobaseline' week 1 to week 3|duration of attacks, change from 'pseudobaseline' week 1 to week 3|hours with cluster headache, change from 'pseudobaseline' week 1 to week 3|days with cluster headache, change from 'pseudobaseline' week 1 to week 3|occurrence of autonomic symptoms, change from 'pseudobaseline' week 1 to week 3|number of treatments with sumatriptan or oxygen, change from 'pseudobaseline' week 1 to week 3|patient satisfaction with treatment, scale from 1 to 10 with 1= very poor effect and 10= very good effect, change from 'pseudobaseline' week 1 to week 3|headache severity index, product of level of disability and duration of attacks, change from baseline to 1 week and 3 week|candesartan-responders, patients with a 50% or more reduction in attack frequency in week 3 than in week 1, 3 weeks|placebo-responders, patients with a 50% or more reduction in attack frequency in week 3 than in week 1, 3 weeks",,Norwegian University of Science and Technology,AstraZeneca,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",D2452L0004|2004-002737-39|045-04|10815,2005-03,2009-06,2009-12,2005-09-16,,2013-04-23,"Norwegian National Headache Centre St.Olavs Hospital, Trondheim, Trondheim, 7006, Norway",
NCT00329836,A Research Study to Examine Cutaneous Allodynia and Cluster Headache,https://clinicaltrials.gov/study/NCT00329836,,COMPLETED,"This is a research study examining cutaneous allodynia and cluster headaches. Cutaneous allodynia means the feeling of pain or unpleasant sensation when normally non-painful stimuli (e.g. light touch) are applied to the skin. Many studies have been performed looking at the presence of cutaneous allodynia in patients with migraines; however, few studies have examined it in cluster headache patients. There is still much to be learned about the brain and how it functions if the investigators are to understand the underlying causes of cluster headache. It is important to explore cutaneous allodynia in cluster headache as it may help guide physicians with the care of these individuals. Sixty patients will be screened for this study. Thomas Jefferson University is the only center enrolling patients in this research study.",YES,Cluster Headache,OTHER: There are no interventions in the observational study. The symptom of allodynia was measured.,"Prevalence of Allodynia in Subjects With Cluster Headache, Allodynia (discomfort to normal sensation) was assessed by brushing at constant rate of 2 brushes/sec and pressure allodynia with Von Frei hairs. Outcome (discomfort) was measured on a 100 mm visual analogue scale., Allodynia was assessed at the screening visit",,,Thomas Jefferson University,,ALL,"ADULT, OLDER_ADULT",,41,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CA/CH/01,2006-08,2008-02,2008-02,2006-05-25,2011-08-16,2025-02-28,"Jefferson Headache Center/ Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States",
NCT05857098,Detection of Local Field Potentials in the Ventral Tegmental Area of the Midbrain in Chronic Cluster Headache Patients,https://clinicaltrials.gov/study/NCT05857098,DETECT,UNKNOWN,"The physiopathology of trigeminal-autonomic cephalalgia, and more particularly of cluster headache (CH) is still partially unknown. Three main structures are involved: the trigeminovascular system, the cephalic afferents of the autonomic nervous system, and centrally the hypothalamus. There are many clinical arguments in favor of the involvement of the hypothalamus in CH. In addition, several radiological studies have confirmed the involvement of the posterior hypothalamic region in cluster attacks. Thus, a positron emission tomography study showed hyperactivity of the posteroinferior nucleus of the ipsilateral hypothalamus. Voxel based MRI studies have shown a bilateral increase in the volume of the inferoposterior part of the homolateral hypothalamus. The involvement of the posterior hypothalamic region or more precisely the ventral tegmental area of the midbrain therefore seems acquired, although its real role as a generator or modulator of pain remains to be precised.

Deep brain stimulation (dBS) is used in the management of chronic drug-resistant CH with an overall efficacy in 2/3 of patients. Nevertheless, its mechanism of action remains poorly understood, thus limiting the selection of patients and the optimization of care. The lack of clear neurophysiological criteria to identify the neuronal population to be targeted is a major source of uncertainty in the positioning of dBS electrodes and parameters adjustment. In order to improve the understanding and at the same time the results of this technique, obtaining in vivo electrophysiological data seems mandatory. Local fields potentials (LFP) have been recordered by in vivo by dBS in other diseases (Parkinson's disease, tremor…) and their analysis has brought new insigights in the characterization and understanding of these pathology. New generations of neurostimulator (Percept Medtronic) enables continuous recording of LFP in implanted patients. The goal of our study is the recording of LFP at the time of CH attacks via the BrainSenseTM system. This system included in the stimulator allows in vivo collection of LFP in the absence and presence of stimulation. The pathophysiological data recordered will then be correlated with the clinical benefit of the dBS ( nulber of attacks, duration, pain intensity…). As it is a feasibility study, only 5 patients will be included.",NO,Cluster Headache|Trigeminal Autonomic Cephalgia,OTHER: Local Field potential recording,"Change in Local field potentials, Local field potentials amplitudes registered by the patient during a cluster attack, Between 0 to 12 months","Change in Efficacy of deep brain stimulation on attacks frequency, Frequency of cluster attacks, Between 0 to 12 months|Change in Efficacy of deep brain stimulation on pain intensity, Pain intensity of cluster attacks, Between 0 to 12 months|Change Efficacy of deep brain stimulation in attacks duration, Duration of cluster attacks, Between 0 to 12 months|Change in Efficacy of deep brain stimulation on treatment, Medical treatments for cluster headache, Between 0 to 12 months",,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",,5,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,RCAPHM23_0056,2023-05-31,2025-06-01,2025-06-01,2023-05-12,,2023-05-12,"Assistance Publique Hopitaux de Marseille, Marseille, France",
NCT05477459,LSD to Improve Cluster Headache Impact Trial,https://clinicaltrials.gov/study/NCT05477459,LICIT,RECRUITING,"This study aims to investigate the efficacy and safety of LSD 25μg every 3 days for 3 weeks versus placebo in the treatment of chronic cluster headache (cCH).

It is a 3-week double-blind placebo-controlled intervention study, preceded by a 4-week baseline observation period and followed by a 5-week post-treatment observation period.

Primary objective: to evaluate the efficacy of LSD 25μg every 3 days for 3 weeks in cCH.

Additional objectives:

* To evaluate the safety of LSD 25μg every 3 days for 3 weeks in cCH.
* To explore the exposure-response relationship of 25μg LSD in cCH.
* To explore cost-effectiveness of treatment with LSD in cCH.
* To evaluate the efficacy of LSD on health-related quality of life.",NO,Chronic Cluster Headache,DRUG: LSD tartrate|DRUG: Placebo,"Mean change in weekly attack frequency, across treatments groups., In week 3 post-randomization, compared to the 4-week baseline average per week, week 3 of treatment","Mean change in weekly attack frequency across weeks 4-8 compared to the 4-week baseline and for each week separately., week 8 post-randomization|100% reduction (remission rate) in number of weekly attacks in the third treatment week, compared to the 4-week baseline, across treatment groups., Rate of subjects with 100% reduction in weekly attack frequency compared to baseline, week 3 post-randomization|≥50% reduction (50% responder rate) in number of weekly attacks in the third treatment week, compared to the 4-week baseline, across treatment groups., Rate of subjects with more than 50% reduction in weekly attack frequency compared to baseline, week 3 post-randomization|≥30% reduction (30% responder rate) in number of weekly attacks in the third treatment week, compared to the 4-week baseline, across treatment groups., Rate of subjects with more than 30% reduction in weekly attack frequency compared to baseline, week 3 post-randomization|100% reduction (remission rate) in number of weekly attacks across weeks 4-8 compared to the 4-week baseline and for each week separately., Rate of subjects with 100% reduction in weekly attack frequency compared to baseline, week 8 post-randomization|≥50% reduction (50% responder rate) in number of weekly attacks across weeks 4-8 compared to the 4-week baseline and for each week separately., Rate of subjects with 50% reduction in weekly attack frequency compared to baseline, week 8 post-randomization|≥30% reduction (30% responder rate) in number of weekly attacks across weeks 4-8 compared to the 4-week baseline and for each week separately., Rate of subjects with 30% reduction in weekly attack frequency compared to baseline, week 8 post-randomization|Mean change in weekly attack frequency in the entire 3 week treatment period compared to the 4-week baseline., week 3 post-randomization|Mean change in mean headache attack duration (minutes) per week, across treatment groups, In week 3 compared to the weekly average during 4-week baseline, week 3 post-randomization|Mean change in mean headache attack duration (minutes) per week, across treatment groups, Across weeks 4-8 compared to the 4-week baseline and for each week separately., week 8 post-randomization|Mean change in mean headache attack severity (VAS 1-10), across treatment groups, In week 3 compared to the weekly average during 4-week baseline, week 3 post-randomization|Mean change in mean headache attack severity (VAS 1-10), across treatment groups, Across weeks 4-8 compared to the 4-week baseline and for each week separately., week 8 post-randomization|Mean change in number of abortive medication use, across treatment groups, In week 3 compared to the weekly average during 4-week baseline, week 3 post-randomization|Mean change in number of abortive medication use, across treatment groups, Across weeks 4-8 compared to the 4-week baseline, week 8 post-randomization|Failure of sustained response', Time to initiation of additional prophylactic treatment and/or GON-block during weeks 4-8, across treatment groups, Weeks 4-8 post-randomization|Patient Global Impression of Change (PGIC), Patient Global Impression of Change at week 3 post-randomization; scale 0-7, higher scores representing better improvement, Day 21 post-randomization|Patient Global Impression of Change (PGIC), Patient Global Impression of Change at week 8 post-randomization; scale 0-7, higher scores representing better improvement, weeks 3 and 8|Health-related quality of life, Change from baseline in EQ-5D-5L Visual Analogue Scale (VAS) at weeks 3 and 8., weeks 3 and 8|Hospital Anxiety and Depression Score (HADS), Change from baseline in Hospital Anxiety and Depression Scale (HADS) at weeks 3 and 8., weeks 3 and 8.|Pharmacokinetic (PK)-pharmacodynamic (PD) modelling, Plasma LSD concentrations on day 18 post-randomization frequency, Day 18 post-randomization|Cost-effectiveness analysis (CEA) from a societal perspective comparing the LSD intervention with usual care., Healthcare use and productivity losses will be measured by patient questionnaires (iMCQ, and iPCQ), Week 1, 3 and 8|Efficacy of treatment masking, measured as perceived treatment assignment on a 5-point scale (likely verum/possibly verum/don't know/possibly placebo/likely placebo)., Week 1 and 3 post-randomization","Alcohol consumption, Units of alcohol consumed during baseline, treatment and follow-up, during the entire 12-week duration of the study|PK-PD modelling, Correlation between individual pharmacokinetics of LSD and relative change of weekly attack frequency, Week 1 and 3",Radboud University Medical Center,ZonMw: The Netherlands Organisation for Health Research and Development|Canisius-Wilhelmina Hospital|Leiden University Medical Center,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,65,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",131-2022,2025-04-16,2027-04,2027-04,2022-07-28,,2025-04-15,"Leiden University Medical Center (LUMC), Leiden, Netherlands|Canisius-Wilhelmina Ziekenhuis (CWZ), Nijmegen, Netherlands",
NCT02440776,Pathway CH S&E Registry,https://clinicaltrials.gov/study/NCT02440776,SER,UNKNOWN,Monitor the safety and performance of the Pulsante Microstimulator System.,NO,Cluster Headache,,"Characterization of all device/procedure related Adverse Events, Outcome will be assessed at Implant, 3, 6, 9, 12, 18, 24, 36, 48 and 60 months post implant., Through five years post implant","Acute response to therapy, Outcome will be assessed at 3, 6, 9, 12, 18, 24, 36, 48 and 60 months post implant., Through five years post implant",,"Autonomic Technologies, Inc.",,ALL,"ADULT, OLDER_ADULT",,30,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,CP-010,2015-04,2018-05-13,2018-06-30,2015-05-12,,2018-06-26,"Rigshospitalet Neurocenter, Glostrup Municipality, 2600, Denmark|Universitätsklinikum Carl Gustav Carus an der Technischen Universität Dresden, Klinik und Poliklinik für Neurologie, Dresden, 01307, Germany|Heinrich-Heine-University, Düsseldorf, D-40225, Germany|Universitätsklinikum Freiburg, Freiburg im Breisgau, 79106, Germany|Klinik für Schmerztherapie, Rotes Kreuz Krankenhaus, Hansteinstr. 29, Kassel, 34121, Germany|Neurologie + Kopfschmerzzentrum Münchner Freiheit, Munich, 80802, Germany|Neurologiska Kliniken-Karolinska UniversitetssjukhusetSolna, Stockholm, 17176, Sweden|University Hospital Zurich, Klinik f. Neurologie, Frauenklinikstr. 26, Zurich, 8091, Switzerland|The Walton Center, Liverpool, L97LJ, United Kingdom",
NCT07113470,Response to Combined Trigeminal and Occipital Nerve Stimulation for the Preventive Treatment in Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT07113470,RESPONSE-II,NOT_YET_RECRUITING,"This is a limited open-label study being performed at two centers in the Netherlands. All participants will receive the same treatment, and both the patients and doctors will know what that treatment is. The goal is to see how safe and effective the PRIMUS system is for preventing Chronic Cluster Headaches (CCH) in people who haven't responded well to the drug verapamil. The study will also look at the patients' experience using the system.",NO,Chronic Cluster Headache,DEVICE: The Salvia PRIMUS implantable neurostimulator System,"Safety Assessment, The primary safety assessment is the incidence of serious procedure and/or device-related adverse events in all subjects at the 12 week visit and at the end of the study. All adverse clinical events will be collected, coded and reported, throughout the duration of the study according to the definitions of ISO 14155:2020. Device and procedure-related adverse events will be distinguished from stimulation-related adverse events. All device deficiencies, as defined by ISO 14155:2020, will be documented and reported throughout the duration of the study., 12 weeks",,,Salvia BioElectronics,,ALL,"ADULT, OLDER_ADULT",NA,10,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,SCI-04-CCH|NL-010395,2025-12-01,2026-10-01,2028-10-01,2025-08-08,,2025-08-08,,
NCT06950281,Low Sodium Oxybate as a Treatment for Nocturnal Cluster Headache,https://clinicaltrials.gov/study/NCT06950281,SUNCET,NOT_YET_RECRUITING,"The goal of this clinical trial is to evaluate the efficacy of low sodium oxybate (LXB) (brand name Xywav) in the treatment of (nocturnal) cluster headache attacks in subjects with chronic cluster headache.

It is an 18 week, randomized, double-blind, placebo- controlled, bi-center trial.

LXB will be administered as a twice nightly regimen. All subjects will undergo an 8 week Treatment Titration and Optimization Phase.

The main trial endpoint is the change from baseline in average weekly frequency of nocturnal cluster headache attacks over 4-week fixed stable dose of treatment period.",NO,Chronic Cluster Headache,DRUG: Low Sodium Oxybate|DRUG: Placebo,"Change in average weekly frequency of nocturnal cluster headache attacks, During 4-week fixed stable dose treatment phase compared to baseline. Nocturnal attacks are defined as occurring after sleep onset during the night between 22:00 and 07:00., During 4-week fixed stable dose treatment phase","Change in percentage of participants with a ≥30% reduction in the weekly number of nocturnal Cluster Headache Attacks, At week during 4-week fixed stable dose treatment phase compared to baseline., During 4-week fixed stable dose|Change in percentage of participants with a ≥50% reduction in the weekly number of nocturnal Cluster Headache Attacks, During 4-week fixed stable dose treatment phase compared to baseline., During 4-week fixed stable dose|Change in weekly frequency of cluster headache attacks in a 24-hr period during, During a 4-week fixed stable dose treatment phase compared to baseline., During a 4-week fixed stable dose|Change in percentage of participants with a ≥30% reduction in the weekly number of cluster headache attacks in a 24-hr period (daytime and nocturnal attacks), During 4-week fixed stable dose treatment phase compared to baseline., During 4-week fixed stable dose|Change in percentage of participants with a ≥50% reduction in the weekly number of cluster headache attacks in a 24-hr period (daytime and nocturnal attacks), During 4-week fixed stable dose treatment phase compared to baseline., During 4-week fixed stable dose|Change in pain scale (NRS 0-10), During 4-week fixed stable dose treatment phase compared to baseline., During 4-week fixed stable dose",,Leiden University Medical Center,,ALL,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",136324,2025-12,2027-12,2028-05,2025-04-30,,2025-04-30,,
NCT06206772,Resting State Functional Connectivity in Cluster Headache,https://clinicaltrials.gov/study/NCT06206772,,RECRUITING,"Cluster headache is a highly disabling primary headache disorder, characterized by severe, excruciating, recurrent unilateral headache attacks. Typically, attacks' onset displays a circadian rhythm, and bout recurrence happens in a circannual fashion. Notably, the mechanisms underlying the shift between the remission phase and cluster bout are poorly understood.

Thus, the investigators aim to study brain connectivity in episodic cluster headache patients. Additionally, an explorative analysis of functional connectivity in chronic cluster headache patients will be performed.",NO,Cluster Headache|Headache Disorders,DIAGNOSTIC_TEST: Resting state HD-EEG recording,"Difference in absolute functional connectivity values (continuous variable, without unit of measurement) in resting state networks (RSN-FC) in episodic cluster headache patients between active and remission phases, To compare HD-EEG functional connectivity in episodic cluster headache patients between the two phases of the disease, Through study completion, an average of 2 years|Differences in absolute functional connectivity values (continuous variable, without unit of measurement) in resting state networks (RSN-FC) between episodic cluster headache patients and healthy controls, To compare HD-EEG functional connectivity between episodic cluster headache patients in the two phases of the disease and healthy controls, Through study completion, an average of 2 years","Differences in absolute functional connectivity values (continuous variable, without unit of measurement) in resting state networks (RSN-FC) between episodic cluster headache patients and chronic cluster headache patients, To compare HD-EEG functional connectivity between episodic cluster headache patients and chronic cluster headache patients, Through study completion, an average of 1 year|Differences in absolute functional connectivity values (continuous variable, without unit of measurement) in resting state networks (RSN-FC) between chronic cluster headache patients and healthy controls, To compare HD-EEG functional connectivity between chronic cluster headache patients and healthy controls, Single evaluation in chronic cluster headache (cCH) vs. healthy controls (HCs)","To assess for correlations between clinical features of episodic cluster headache and absolute functional connectivity values in resting state networks (RSN-FC), To search for correlations between clinical variables and HD-EEG functional connectivity in episodic cluster headache, Through study completion, an average of 2 years","IRCCS National Neurological Institute ""C. Mondino"" Foundation",,ALL,"ADULT, OLDER_ADULT",,20,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,HD-EEG in Cluster Headache,2021-11-01,2024-12,2025-02,2024-01-16,,2024-01-16,"Headache Science & Neurorehabilitation Center, Pavia, 27100, Italy",
NCT05868044,REsponse to Combined SONS and ONS in Chronic Cluster HeadachE,https://clinicaltrials.gov/study/NCT05868044,RESPONSE,ACTIVE_NOT_RECRUITING,"The purpose of this study is to demonstrate the safe use of the PRIMUS System in subjects with chronic cluster headache. This is a single-centre, open label, prospective, first in human study to collect initial clinical data on the PRIMUS system for the treatment of chronic cluster headache.",NO,Chronic Cluster Headache,DEVICE: PRIMUS,"Safety Evaluation, The primary safety assessment is the incidence of serious procedure and/or device-related adverse events in all subjects at 30 days., 4 weeks|Safety Evaluation, The primary safety assessment is the incidence of serious procedure and/or device-related adverse events in all subjects at the end of the study., 12 months",,,Salvia BioElectronics,,ALL,"ADULT, OLDER_ADULT",NA,5,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,SCI-01-CCH,2023-05-02,2024-04-23,2026-04-30,2023-05-22,,2024-11-29,"Resolve Pain, Buderim, Queensland, 4556, Australia",
NCT06841627,Osteopathic Manual Therapy (OMT) and Brain Structure and Function in Primary Headache Patients: A Pilot Study,https://clinicaltrials.gov/study/NCT06841627,,RECRUITING,"Chronic headaches are associated with changes in brain structure and function that may be associated with increased suffering and disability. Understanding how Osteopathic Manipulative Therapy (OMT) affects these changes would reveal new insight into how the brain processes pain and returns to normal function. Also, demonstrating these changes would provide evidence regarding how OMT causes a reduction in pain and disability, supporting the recommendation for OMT as a primary treatment option for headaches.",NO,"Primary Headaches (Migraines, Tension, Cluster Headaches)",OTHER: Osteopathic Manipulative Therapy,"Brain Structural and Functional Changes, Structural MRI will assess physical changes in brain anatomy, including differences in the size, shape, or density of specific brain regions. For example, changes in gray matter volume or white matter integrity may indicate neuroplasticity changes response to an OMT. Functional MRI (fMRI) will measure brain activity by detecting changes in blood flow within the central pain network. When a specific brain region becomes more active, it requires more oxygen, which fMRI can detect. This will help determine whether the intervention alters brain function, such as increased activation in areas involved in movement, memory, or pain processing. Magnetic Resonance Spectroscopy (MRS), unlike standard MRI, which provides images of brain structures, will analyze chemical changes in the brain. It detects levels of important brain metabolites involved in neural signaling neuronal health., From enrollment to the end of treatment at 5 weeks","Headache Impact Test - 6 (HIT-6), The HIT-6 (Headache Impact Test-6) measures how headaches affect daily life, including pain severity, frequency, and impact on work and social activities., From enrollment to the end of treatment at 5 weeks|Short Form -36 (SF-36), The SF-36 (Short Form-36 Health Survey) is a 36 question survey that assesses overall physical and mental well-being, evaluating factors like physical function, pain, energy levels, and emotional health., From enrollment to the end of treatment at 5 weeks|Depression Anxiety and Stress Scale 21 (DASS-21), The DASS-21 (Depression, Anxiety, and Stress Scale-21) is a 21 question survey that examines emotional well-being by measuring levels of depression, anxiety, and stress., From enrollment to the end of treatment at 5 weeks|Headache intensity, Headache intensity will be measured by an 11 point numerical rating scale from 0 (no pain) to 10 (worst possible pain)., From enrollment to the end of treatment at 5 weeks",,Edward Via Virginia College of Osteopathic Medicine,Auburn University MRI Research Center,ALL,ADULT,NA,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,STUDY00000226|2254326-1,2025-08-05,2026-02,2026-04,2025-02-24,,2025-09-09,"Auburn University MRI Center and Edward Via College of Medicine, Auburn, Alabama, 36832, United States",
NCT06124534,Bilateral Occipital Nerve Field Stimulation for the Treatment of dtCCH,https://clinicaltrials.gov/study/NCT06124534,BONS,SUSPENDED,"The purpose of this study is to assess the initial safety, tolerability, and effectiveness of the novel BliStim occipital nerve field stimulation therapy for the prevention of chronic cluster headaches. This is a prospective, first in human study.",NO,Chronic Cluster Headache,DEVICE: Neurostimulation of the Occipital Nerve Field,"Safety Evaluation of the Device [Time Frame:12 weeks / 48 weeks], The primary endpoint is safety and is assessed through the incidence of procedure related and/or device-related adverse events during the 12-weeks post implantation and the rate of all adverse events during the entire 48-week study period., 12-weeks post implantation and through study completion at 48 weeks",,,"Man and Science, SA",,ALL,"ADULT, OLDER_ADULT",NA,10,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,DOC-130,2023-10-19,2024-11-21,2025-03-30,2023-11-09,,2024-06-26,"VITAZ Hospital, Sint-Niklaas, Belgium",
